LastName,FirstName,BirthDate,BirthCountry,Gender,CitizenshipCountry,CitizenshipBasis,CitizenshipStartDate,PassportCountry,PassportIssueDate,PassportExpirationDate,CurrentEmploymentType,CurrentEmploymentTitle,CurrentEmploymentStartDate,EmailAddress,MilitaryServiceBranch,MilitaryDischargeType,MilitaryDischargeDate
Morlun,Valeria,9/22/81,Kronos,Female,Kronos,BirthNation,9/22/81,,,,Facilities,Truck Driver,12/2/03,Valeria.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/01
Morlun,Adan,10/9/84,Kronos,Male,Kronos,BirthNation,10/9/84,,,,Facilities,Truck Driver,1/14/06,Adan.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/05
Morluniau,Cecilia,9/2/88,Kronos,Female,Kronos,BirthNation,9/2/88,,,,Facilities,Truck Driver,4/30/09,Cecilia.Morluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/08
Nant,Irene,3/13/85,Kronos,Female,Kronos,BirthNation,3/13/85,,,,Facilities,Truck Driver,11/30/08,Irene.Nant@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/05
Scozzese,Dylan,5/25/86,Kronos,Male,Kronos,BirthNation,5/25/86,,,,Facilities,Truck Driver,3/1/07,Dylan.Scozzese@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/06
Bergen,Linnea,7/10/69,Tethys,Female,Tethys,BirthNation,7/10/69,Tethys,4/29/04,4/28/14,Information Technology,IT Group Manager,7/4/04,Linnea.Bergen@gastech.com.kronos,,,
Alcazar,Lucas,4/17/90,Tethys,Male,Tethys,BirthNation,4/17/90,Tethys,1/24/13,1/23/23,Information Technology,IT Helpdesk,11/30/10,Lucas.Alcazar@gastech.com.kronos,,,
Baza,Isak,2/12/79,Tethys,Male,Tethys,BirthNation,2/12/79,Tethys,8/13/08,8/12/18,Information Technology,IT Technician,3/20/02,Isak.Baza@gastech.com.kronos,,,
Calixto,Nils,3/26/82,Tethys,Male,Tethys,BirthNation,3/26/82,Tethys,6/12/12,6/11/22,Information Technology,IT Technician,10/19/04,Nils.Calixto@gastech.com.kronos,,,
Flecha,Sven,11/11/86,Tethys,Male,Tethys,BirthNation,11/11/86,Tethys,10/9/06,10/8/16,Information Technology,IT Technician,10/15/10,Sven.Flecha@gastech.com.kronos,,,
Herrero,Kanon,10/3/84,Tethys,Male,Tethys,BirthNation,10/3/84,Tethys,10/10/08,10/9/18,Security,Badging Office,11/20/08,Kanon.Herrero@gastech.com.kronos,,,
Lagos,Varja,5/1/76,Tethys,Female,Tethys,BirthNation,5/1/76,Tethys,7/7/13,7/6/23,Security,Badging Office,10/1/06,Varja.Lagos@gastech.com.kronos,,,
Fusil,Stenig,4/29/63,Tethys,Male,Tethys,BirthNation,4/29/63,Tethys,4/3/06,4/2/16,Security,Building Control,2/5/04,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,10/1/87
Mies,Minke,11/19/92,Kronos,Male,Kronos,BirthNation,11/19/92,,,,Security,Perimeter Control,5/22/13,Minke.Mies@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/11
Osvaldo,Hennie,5/31/88,Kronos,Male,Kronos,BirthNation,5/31/88,,,,Security,Perimeter Control,6/7/11,Hennie.Osvaldo@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/10
Vann,Isia,12/13/86,Kronos,Male,Kronos,BirthNation,12/13/86,,,,Security,Perimeter Control,12/14/07,Isia.Vann@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/07
Vann,Edvard,3/18/91,Kronos,Male,Kronos,BirthNation,3/18/91,,,,Security,Perimeter Control,8/15/13,Edvard.Vann@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/11
Resumir,Felix,6/30/59,Tethys,Male,Tethys,BirthNation,6/30/59,Tethys,3/20/05,3/19/15,Security,Security Group Manager,9/15/03,Felix.Resumir@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,10/1/97
Bodrogi,Loreto,4/17/89,Kronos,Male,Kronos,BirthNation,4/17/89,,,,Security,Site Control,8/17/13,Loreto.Bodrogi@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,10/1/08
Cocinaro,Hideki,12/25/80,Tethys,Male,Tethys,BirthNation,12/25/80,Tethys,5/25/13,5/24/23,Security,Site Control,1/1/10,Hideki.Cocinaro@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,10/1/09
Ferro,Inga,6/17/89,Kronos,Female,Kronos,BirthNation,6/17/89,,,,Security,Site Control,1/11/13,Inga.Ferro@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,10/1/12
